"題號","官方答案","題目核心觀念","正確原因分析"
"11","C","特定代理特徵與公平性原則","以性別或族群等敏感特徵作為感染風險的代理特徵，會在資料層面強化對特定族群的歧視性標籤，這直接違反了 AI 倫理中的公平性原則。"
"12","B","結構化與非結構化資料型態","ERP 訂單（欄位明確）為結構化、感測器連續數值（格式固定）為結構化，而維修技師手寫的異常文字描述（PDF）則屬於典型的非監督、非結構化資料。"
"13","D","Label Encoding 對線性模型的誤導","Label Encoding 會將職業無序類別賦予數值大小（如 1、2、3），這會使線性模型錯誤解讀出不具現實意義的順序或權重大小關係。"
"14","B","標準 K-fold 在時序資料上的缺陷","標準 K-fold 交叉驗證會將資料完全隨機打散，導致訓練集中包含比測試集更晚的時間點，從而破壞了時間序列數據特有的前因後果時間依賴性。"
"15","D","決策樹對特徵尺度的不敏感性","決策樹（Decision Tree）在建立分支時僅依據特徵的數值大小切分臨界點，因此對特徵的原始尺度極不敏感，完全不需要事先進行數值標準化。"
"16","D","異常檢測 (Anomaly Detection)","異常檢測的核心目標是從大量的常規數據中，即時偵測出與正常運作模式顯著偏離的極少數特異訊號，以在設備故障前發出預警。"
"17","D","無對應關係的隨機編碼去識別化","將卡號等敏感個資直接替換為全新的隨機編碼、且完全不保留任何歷史對應關係或原碼對照表，是最徹底且符合個資法規範的去識別化作法。"
"18","B","時間連續性數據的線性插補","面對短暫失聯導致的少部分溫度時序遺漏值，在不引入虛假異常的前提下，利用前後相鄰時間點的已知觀測值進行線性插補最符合時間連續性。"
"19","A","關鍵任務中降低漏檢的召回率","在害蟲檢測等不容許漏網之魚的關鍵任務中，漏檢（假陰性）的代價極高，因此必須優先關注與優化旨在衡量『找齊所有害蟲能力』的召回率（Recall）。"
"20","B","中間人攻擊的安全傳輸防禦","為防範跨國敏感資料在網路傳輸中遭竊取或竄改，最能兼顧效率與通訊安全的作法是在傳輸層進行強加密（如 TLS），並確認通訊雙方的數位身分。"
"21","C","深度學習的特徵自動萃取","深度學習（Deep Learning）的核心特質是透過多層深層神經網路的非線性變換，能完全自動地從大量原始資料中學習並萃取出高階的抽象特徵。"
"22","D","非監督式學習的使用者分群","商品分類或使用者行為分析中，若僅依據點擊瀏覽模式進行分群、且整個過程中完全未使用到任何人工標註的標籤，本質上即屬於非監督式學習。"
"23","A","連續型成交房價預測的評估指標","估算房屋成交價格屬於連續數值預測的迴歸任務，在系統上線前評估模型預測準確度與平均誤差大小，最適合採用均方誤差（MSE）。"
"24","A","強化學習的探索與利用權衡","總是推薦表現好的商品（利用）能維持短期收益，但頻繁嘗試未知商品（探索）才能發掘長遠潛力，此情境屬於強化學習最經典的探索與利用權衡（Exploration vs. Exploitation）。"
"25","A","LSTM 改善長序列遺忘挑戰","當語音或文字句子過長時，傳統 RNN 會遭遇梯度消失。長短期記憶網路（LSTM）透過內建的門控與細胞狀態，最能保留長時間序列的前段重要資訊。"
"26","B","半監督式學習在標註受限下的應用","當 120 萬筆銷售紀錄中僅有 8 萬筆有標籤時，半監督式學習（Semi-supervised Learning）最適合用來同時利用少量標註與大量無標註資料，學習整體分布並提升預測表現。"
"27","A","自編碼器在設備異常檢測的應用","自編碼器（Autoencoder）最專長的情境是（甲）設備感測器異常偵測，透過僅學習正常數據的重建，當異常發生時其重建誤差會顯著放大，從而精確預警。"
"28","D","Batch Normalization 的穩定機制","在隱藏層加入 Batch Normalization 機制，其在訓練階段最主要的作用是降低不同批次（Batch）輸入所造成的內部特徵分布變動，使梯度更新更穩定並加速收斂。"
"29","C","GRPO 強化學習在逐步推理的優勢","GRPO（Group Relative Policy Optimization）作為一種先進的強化學習方法，最適合用來強化大型語言模型在數學應用題或邏輯謎題上逐步推導解答的能力。"
"30","B","顯著性圖在 NLP 詞彙權重的應用","在合約風險審查的自然語言處理（NLP）情境中，顯著性圖（Saliency Map）主要用來精確標示出輸入文本中，對模型風險預測結果影響程度最高（最敏感）的文字片段。"
"31","D","部分依賴圖 (PDP) 的全局Trend限制","部分依賴圖（PDP）是一種全局性的解釋工具，它僅能呈現特徵與良品率之間的『整體平均影響趨勢』，因此無法用來單獨判斷某個單一批次瑕疵的個別特定主因。"
"32","D","LIME 局部代理模型的擬合定位","LIME 演算法中的代理模型（Surrogate model），其最核心的技術意義在於在目標實例（特定資料點）周圍產生局部擾動，以擬合並近似原黑箱模型在該目標實例附近的預測行為。"
"33","B","稀疏專家混合 (MoE) 架構效能","稀疏專家混合（Sparse MoE）架構的核心設計在於模型規模雖大，但每次推論運算時透過門控網路僅激活並使用部分專家子模型，從而在維持高品質的同時兼顧運算效率。"
"34","C","CLIP 與 DINO 訓練資料型態差異","CLIP 模型是透過互相對齊圖像與文字的對比學習進行訓練，因此需要圖文配對資料；而 DINO 則是純粹使用未標註的圖像資料進行視覺層面的自監督學習。"
"35","A","傳統 Transformer 的固定上下文限制","傳統 Transformer 結構在推理時會受到固定長度上下文視窗（Context Window）的嚴格限制，導致其在整合分散於極長全文中、且彼此不相關的資訊時，準確性與連貫性會大幅下降。"
"36","A","優化器 (Optimizer) 的參數調整角色","深度學習模型在訓練時，持續比對預測值與實際值的差距（損失），並透過特定數學機制逐步更新與調整模型內部神經元權重參數的元件，即為優化器（Optimizer）。"
"37","D","顯著性圖在醫療視覺的可解釋性","顯著性圖（Saliency Map）能夠利用像素等級的梯度特徵，直接在胸腔 X 光影像上標示並高亮出對本次肺炎診斷判斷影響、貢獻最大的關鍵視覺區域。"
"38","C","半監督式異常偵測的框架選型","面對大量重複貼文或疑似機器人等異常評論，且異常樣本無法事先完整標記的情境，系統主要依據正常評論分布來識別，這最符合半監督式學習（Semi-supervised）異常偵測的設計需求。"
"39","C","CRF 在序列標註的鑑別式分類","條件隨機場（Conditional Random Field, CRF）在命名實體辨識中，是直接對給定輸入序列的條件機率分佈進行建模與權重優化，不對輸入本身的機率建模，本質上屬於鑑別式模型（Discriminative Model）。"
"40","C","生成對抗網路 (GAN) 的靈感創作","要讓系統真正內化音樂的結構與風格，自主創作出從未出現過的全新旋律，而非單純的拼接或數值重建，最符合此圖像與音訊風格創新需求的技術是生成對抗網路（GAN）。"
"41","C","支援向量機 (SVM) 的樣本與運算特異性","支援向量機（SVM）的核心特性在於其利用核函數處理高維度且樣本數相對有限（小樣本）的情境時表現極佳，但當訓練資料量極其龐大時，其二次規劃的運算成本會顯著上升。"
"42","C","LIME 在特定單一信貸決策的應用","LIME 專長於局部解釋（Local Explanation）。當某個特定的貸款申請被模型拒絕時，最適合採用 LIME 來深度分析該筆特定資料中各項特徵欄位與該拒絕結果之間的局部關聯。"
"43","B","SHAP Shapley 值的個案風險分配","在信用評分系統中，針對某位特定申請人，SHAP 所計算出的 Shapley 值，其明確物理意義代表該申請人的各項特徵（如年資、收入），分別讓該次風險評分上升或下降了多少。"
"44","C","超大型模型導入的推理成本權衡","企業在正式環境部署 120B 等超大型語言模型時，由於模型參數量極其龐大，會導致推理延遲偏高且算力消耗極大，每次請求成本高昂，必須在效能與營運成本（TCO）間審慎權衡。"
"45","B","卷積神經網路在影像識別的絕對優勢","智慧交通系統需要在監視畫面中即時識別汽車、機車等物件類型並統計流量，這種需要高效捕捉二維空間局部特徵與幾何結構的任務，最適合採用卷積神經網路（CNN）。"
"46","C","AutoSkill 框架的技能模組化目的","AutoSkill 框架的核心開發目標，在於將人類與大語言模型（LLM）反覆、重複互動的對話經驗與成功路徑，自動轉化並固化為可重複使用的明確『技能模組』。"
"47","B","生成式 AI 多樣性缺失的模式崩潰","在預訓練或對話模型訓練中，模型在生成文本或影像時，如果長期、反覆集中產生少數幾種極為相似的回應形式而嚴重缺乏多樣性，這一類技術病徵在學術界被稱為模式崩潰（Mode Collapse）。"
"48","B","概念漂移與資料漂移的模型劣化對比","情形甲是用戶模式轉變導致舊特徵與新標籤的對應關係改變，屬於概念漂移（Concept Drift）；情形乙是新增行動端入口導致輸入特徵的分布發生改變，屬於資料漂移（Data Drift）。"
"49","D","生成式 AI 模擬流量對鑑別式防禦的助益","利用生成式 AI 模擬並合成可能的新型變種攻擊流量、並將其納入訓練集中，能顯著幫助傳統的鑑別式 AI 防禦模型擴展視野，大幅提升其對未來未知攻擊的辨識與泛化能力。"
"50","B","不需重新訓練且立即反映的 RAG 優勢","面對每月滾動更新的企業內部規範，管理層要求文件更新後系統必須立即反映最新內容，此時採用 RAG 較為適合，因為只需更新外部知識庫，模型即可在不重新訓練下立即查詢最新法規。"
