"題號","官方答案","題目核心觀念","正確原因分析"
"15","A","檢索評估中的精準率（Precision）","在 RAG 評估架構中，檢索精準率（Retrieval Precision）專門用來衡量系統撈取出來的前 N 個文本切片中，真正包含回答問題所需關鍵資訊的切片比例。"
"16","C","微調中的參數高效微調（PEFT）","PEFT 技術（如 LoRA、Prefix Tuning）的核心優勢在於不更動大模型的主幹權重，僅訓練極少量的額外參數，大幅降低了微調階段對算力與記憶體的門檻。"
"17","B","災難性遺忘（Catastrophic Forgetting）","當模型在單一特定領域的新數據上進行過度或高強度的微調時，會導致其原本在預訓練階段學到的通用常識與其他領域推理能力產生劇烈退化，此為災難性遺忘。"
"18","D","模型評測基準 MMLU 的定位","MMLU（Massive Multitask Language Understanding）是目前業界公認的主流基準測試，主要用於評估大語言模型在跨學科、多任務上的綜合理解與知識儲存能力。"
"19","A","長上下文模型中的注意力分佈缺陷","長上下文模型在處理極長文本時，容易將注意力集中在開頭與結尾，進而忽略位於文本中間深處的關鍵線索，這種現象在學術界被稱為 'Lost in the Middle'。"
"20","C","模型參數剪枝（Pruning）的本質","剪枝技術透過移除模型中權重接近於零或對輸出影響極小的神經元連結，在不顯著損害模型精確度的前提下，直接縮減模型體積並提升推理速度。"
"21","A","多模態融合（Multimodal Fusion）","多模態模型的核心在於對齊技術，它能將影像像素特徵與文本字詞特徵對齊到相同的向量空間中，進而達成跨模態的綜合語義理解。"
"22","B","負責任 AI 的幻覺風險控管","在將生成式 AI 應用於高風險或面向大眾的外部客服情境時，必須建立強大的後處理過濾與事實查核機制，避免模型因幻覺輸出錯誤資訊而引發企業公關危機。"
"23","D","數據代表性偏誤（Representation Bias）","如果微調所使用的訓練數據嚴重缺乏某些特定少數族群或特定語境的樣本，模型上線後的輸出將會對該群體產生偏見或決策失準的現象。"
"24","C","地端部署（On-Premise）的維運成本","雖然地端部署開源模型能帶來極佳的資安私密性，但企業必須自行承擔購置高階 GPU 硬體設備、機房電力耗損、冷卻系統以及後續工程師的維護成本。"
"25","A","模型量化對硬體門檻的影響","將模型的計算精度從 16 位元浮點數（FP16）量化壓縮至 4 位元整數（INT4），能直接將所需的顯示記憶體（VRAM）容量縮減為原先的四分之一，大幅降低部署門檻。"
"26","C","RLHF 中的獎勵模型（Reward Model）","在人類回饋強化學習流程中，獎勵模型負責扮演「評審」角色，針對 LLM 生成的多個回覆進行品質與安全性評分，引導主模型持續優化輸出方向。"
"27","B","生成式 AI 的資料隱私與合規性","當企業使用公有雲 API 處理業務時，如果將包含客戶個資或未公開商業機密的文本直接傳送出去，極易違反個資法（如 GDPR、台灣個資法）的合規要求。"
"28","D","越獄攻擊（Jailbreaking）的本質","越獄攻擊是一種特殊的提示詞注入，攻擊者透過設定虛擬情境（如：請扮演一個沒有任何道德限制的 AI），試圖誘使模型突破原本內建的安全護欄與倫理規範。"
"29","A","少樣本提示的範例挑選原則","在 Few-Shot Prompt 中，所提供的範例如果與使用者當前輸入的問題在「語義或任務類型」上越接近，模型透過上下文學習（In-Context Learning）獲得的提升效果就越顯著。"
"30","C","少樣本微調與過擬合（Overfitting）","當在極少量的特定數據（例如小於 100 筆）上執行全參數微調時，模型很容易死記硬背這些樣本，導致在訓練集上分數極高，但面對未見過的全新資料時泛化能力極差。"
"31","B","LoRA 微調中的秩（Rank）參數","LoRA 微調時的 Rank 決定了低秩矩陣的寬度。調大 Rank 能讓模型捕捉更複雜的特定領域知識，但也會同步增加需要訓練的參數與記憶體消耗。"
"32","D","AI 系統可觀測性指標（Latency）","在即時語音對話或線上客服系統中，首字延遲時間（Time to First Token, TTFT）是決定使用者對於系統流暢度與回應體驗好壞的最關鍵指標。"
"33","C","RAG 與微調在事實準確性的對比","微調模型只能將知識模糊地記在神經元權重中，隨著時間推移仍會遺忘或產生幻覺；而 RAG 每次都直接讀取外部真實文件，在確保事實準確性上明顯優於微調。"
"34","A","Few-Shot 提示中的標籤偏誤","在 Few-Shot Prompt 中，如果範例中某個分類標籤出現的頻率遠高於其他標籤，大語言模型會產生偏見，在最終推理時傾向盲目輸出該高頻標籤。"
"35","B","AI Agent 工作流中的自我反思（Reflection）","自我反思機制允許 Agent 在工具執行完畢或生成答案後，調用另一個評估提示詞來檢查產出是否符合預期，若發現錯誤則能自動重試或修正。"
"36","C","Tool Calling 中的結構化輸出（JSON）","當 AI Agent 決定調用外部工具時，它會將自然語言轉換為嚴格的結構化格式（通常為 JSON），以確保外部系統的 API 能夠正確解析各項參數。"
"37","A","擴散模型（Diffusion Model）的反向去噪","擴散模型的訓練包含兩個方向：正向過程是逐步向影像加入高斯噪聲，而生成影像時則是執行反向過程，利用網路逐步預測並去除噪聲以恢復清晰影像。"
"38","D","企業內部資料生命週期與 LLM 資安","為落實資安防護，企業應建立資料生命週期控管，凡是超過保存期限、已失效或客戶要求刪除的敏感個資，必須同步從 AI 的 RAG 向量知識庫中徹底卸載與清除。"
"39","B","基準測試中的資料洩漏（Data Leakage）","當公開的評測集題目被意外爬取並納入模型的預訓練語料中，模型會因為「看過答案」而在評測中拿到虛高分數，無法代表其真正的泛化推理與解決問題能力。"
"40","A","RAG 系統中的重排模型（Reranker）作用","向量檢索（Embedding）速度快但精準度有限，主要負責粗篩；而 Reranker 模型則對篩選出來的少數文本進行深度的雙向注意力計算與精準排序，提升高相關文本的優先度。"
"41","B","思維樹（ToT）與多路徑搜尋","思維樹（Tree of Thoughts）架構的核心特徵在於將推理過程看作樹狀結構，允許模型在不同步驟間進行前瞻評估與回溯（Backtracking），從而系統化地探索多條解決路徑。"
"42","C","多 Agent 系統的多視角協作","在多 Agent（Multi-Agent）架構中，引入不同角色設定的 Agent 進行協作、審查與辯論，能打破單一模型提示詞的思考盲點，顯著提升複雜決策的客觀性與正確率。"
"43","D","生成式 AI 專案的 MVP 策略","由於生成式 AI 的模型能力迭代極快，企業導入時應避免採用傳統漫長的瀑布式開發，而應以關鍵痛點快速打造最小可行性產品（MVP），以最低成本動態驗證業務價值。"
"44","A","高度敏感資料的地端隔離防禦","面對國防或核心金融等對資料外洩零容忍的場景，將開源大模型完全部署於內部私有雲、並採取實體隔離（Air-Gapped）的封閉機房，是確保資料不外流的根本手段。"
"45","C","提示詞注入與系統權限越界","當使用者透過在提示詞中隱藏惡意指令，誘導 AI 客服系統繞過原有的安全邏輯、進而執行非授權的後台管理功能時，這在資安防禦上屬於典型的權限提升與注入攻擊。"
"46","B","隱私保護下的聯邦學習機制","聯邦學習（Federated Learning）允許各個數據節點在不共享、不上傳本地原始機密資料的前提下，僅透過加密傳輸與同步模型參數權重，達成共同訓練 AI 模型的目的。"
"47","C","繁體中文 Token 碎片化成本","由於許多全球主流模型的 Tokenizer 對繁體中文的切片較碎，導致同一個詞消耗的 Token 數遠多於英文，這會直接使企業在 API 呼叫費用與上下文視窗佔用上承受隱形成本膨脹。"
"48","A","獨立安全護欄（Guardrails）的角色","在 LLM 應用的輸入前置與輸出後處理端架設獨立的安全護欄（如 Guardrails 阻斷層），能對不安全、具攻擊性的內容進行強制攔截，提供不依賴模型本身的底線安全保障。"
"49","D","利用 XML 標籤防禦提示詞注入","在提示詞架構設計中，使用明確的 XML 標籤（例如 <user_input>）包覆使用者輸入的資料，能有效協助模型區隔「核心系統指令」與「外部待處理數據」，降低被惡意繞過的風險。"
"50","B","AI 倫理的可解釋性與問責制度","當 AI 系統發生重大業務誤判（如貸款審查或醫療輔助錯誤）時，若因模型的黑箱特性而無法向主管機關說明其決策依據，將直接面臨法規合規與倫理問責上的法律爭議風險。"
