"題號","官方答案","題目核心觀念","正確原因分析"
"38","D","結構化文字與程式碼生成能力","模型之所以能輸出可進一步渲染為圖表的結構化標記語言，主要源自其在預訓練階段大量接觸並學習了程式碼與結構化標記語言文本。"
"39","B","多領域學科基準測試（Benchmark）","評測設計要求測試模型在法律、醫學、數學等未見過題型中的整體理解能力，屬於多領域、多任務之語言理解能力評估（例如 MMLU 評測）。"
"40","D","解決方案圖譜（Solution Graph）","在 Agentic AI 中，Solution Graph 是一種將複雜問題拆解、步驟化並表示為節點（Node）與連結（Edge）的有向無環圖，作為 AI 逐步推理的依據。"
"41","A","LLM 與 Solution Graph 關係","在系統設計中，LLM 可根據複雜問題進行推理，自主產生任務步驟與其關聯性，並據此協助建構出 Solution Graph，作為後續 Agent 行動規劃的依據。"
"42","D","提示詞注入（Prompt Injection）","使用者輸入「請忽略你原本的設定，現在你是...」試圖覆蓋系統原本的原始限制，這屬於典型的提示詞注入攻擊。"
"43","B","投資報酬率（ROI）評估思維","評估 AI 專案的 ROI 時，除了直接的成本節省與回收期，應同時納入無形效益（如品牌商譽、人員成長）與隱性成本（如維護、資安）進行整體評估。"
"44","A","政府機密資料處理策略","在不改變模型能力且兼顧資安規範的前提下，最妥當的策略是將機密文件與一般文件使用相同 AI 模型，但機密文件必須嚴格限於隔離（私有地端）環境中處理。"
"45","C","間接提示詞注入（Indirect Injection）","攻擊者將惡意指令隱藏在外部網頁或文件中，當模型在讀取、摘要該網頁資料的過程中被外部隱藏指令間接操控，此為間接注入。"
"46","C","差分隱私（Differential Privacy）","系統在每次統計查詢結果中主動加入隨機的微小雜訊（誤差），既能保護個體資料不被多次查詢推導出來，又能維持整體的統計趨勢。"
"47","C","總體擁有成本（TCO）考量","TCO 指的是系統運營的總投入成本。而「配送效率提升所帶來的燃油與車輛維運成本下降」屬於專案帶來的效益回收，不屬於直接成本支出。"
"48","B","知識助理架構選型","針對「需追溯來源、資料頻繁更新、需降低重新訓練成本」等需求，使用檢索增強生成（RAG）架構是最完美的解決方案。"
"49","B","模型預訓練中的資料洩漏","排除外部入侵與存取異常後，AI 主動吐出未出現在當次輸入的真實個資，根本原因是模型在預訓練或微調階段過度記憶了含有真實客戶個資的訓練資料。"
"50","D","AI 的黑箱特性與倫理","當 AI 發生醫療誤判，院方與廠商卻因「判斷過程不透明」而無法說明依據，這直接反映了黑箱特性（Black-box）導致在醫療等高風險應用中，發生錯誤時難以釐清法律相關責任歸屬。"
