"題號","官方答案","題目核心觀念","正確原因分析"
"40","A","檢索後的重排 (Reranking) 技術","向量搜尋雖然能快速撈出前 100 筆相關文本，但其語義相似度不夠精準。引入 Reranker 模型對這 100 筆進行深度重新排序，能顯著提升前幾名文本的含金量。"
"41","B","思維樹（Tree of Thoughts, ToT）","ToT 擴展了思維鏈，允許模型在解決複雜問題時，維護並評估多條不同的推理路徑，並透過回溯與前瞻探索來找出最優解。"
"42","C","多 Agent 系統中的辯論機制（Debate）","透過多個具備不同專長設定的 Agent 針對同一議題進行多輪辯論與審查，能有效減少單一模型產生的偏見、盲點，進而提升最終決策的客觀性。"
"43","D","生成式 AI 專案的敏捷評估","由於 LLM 的技術演進速度極快且應用邊界模糊，在評案時應採用敏捷（Agile）開發思維，優先以關鍵核心功能建構最小可行性產品（MVP）來驗證商模。"
"44","A","地端部署（On-Premise）的資安考量","對於國防、金融等對資料外洩零容忍的敏感機構，將開源大模型完全部署在企業內部的私有隔離機房（Air-Gapped），是確保資料不出境的根本解法。"
"45","C","權限提升攻擊（Privilege Escalation）","使用者透過巧妙的提示詞，誘使扮演客服的 AI 繞過系統權限檢查，直接讀取或執行原先僅開放給管理員的後台操作指令，此為權限提升攻擊。"
"46","B","聯邦學習（Federated Learning）","各分支機構在不共享、不上傳各自私有原始資料的前提下，僅在本地端訓練模型，並透過加密方式同步更新中央全域模型的參數權重，兼顧了資料隱私與協同訓練。"
"47","C","Token 膨脹（Token Inflation）對成本的影響","某些語言（如繁體中文）在部分 Tokenizer 切片時會被拆得較碎，導致消耗的 Token 數量遠大於英文，這會直接倍增系統在 API 費用與上下文佔用上的維運成本。"
"48","A","Guardrails（安全護欄）元件","在 LLM 的輸入與輸出端架設獨立的安全過濾與驗證層（如 Llama Guard），能確保在模型本身失控或被黑客繞過時，系統仍能強制阻斷不合規的內容。"
"49","D","提示詞防禦中的 XML 標籤隔離","在建構提示詞時，使用特定的 XML 標籤（如 <user_input>...</user_input>）將用戶輸入與系統指令明確隔離，能協助模型有效分辨何為指令、何為資料，降低注入成功率。"
"50","B","AI 倫理中的可解釋性（Explainability）","在自動化信用貸款審核等高風險金融場景中，系統必須能夠提供透明、可被人類稽核的決策依據與理由，以符合主管機關對於消保與反歧視的法規監管要求。"
