"題號","官方答案","題目核心觀念","正確原因分析"
"11","B","非監督式學習的應用","非監督式學習（Unsupervised Learning）在沒有歷史標籤的情況下，能依據資料特徵的相似性自動將數據分群，最適合用於用戶分群與市場細分行銷。"
"12","A","數值變數關係視覺化","散佈圖（Scatter Plot）專門用來呈現與分析兩個連續數值型變數之間的相對位置，是觀察身高與體重等關聯性（相關性）最直觀的圖表。"
"13","D","機器學習類型與情境搭配","在股票市場資料中，直接輸入歷史股價序列，在無需任何人工標籤的前提下將未來可能走勢劃分成不同群組，這屬於典型的非監督式學習分群應用。"
"14","C","預測性分析的定義","預測性分析（Predictive Analysis）著重於利用歷史數據建構模型，以推算未來可能發生的事件。『建構模型推算下一季的主力商品銷量』最符合此特性。"
"15","A","K-近鄰演算法（KNN）分類","當 KNN 的 K 設為 3 時，模型會檢視最接近的 3 筆鄰近樣本並進行多數決投票。由於鄰近樣本中類別 A 佔了 2 筆（過半數），因此系統會預測為類別 A。"
"16","B","RNN 的長序列訓練挑戰","傳統循環神經網路（RNN）由於其時間步長的反向傳播機制，在處理很長的時間序列訓練時，容易因為連續矩陣相乘而產生梯度消失（Gradient Vanishing）的問題。"
"17","A","強化學習的獎勵機制","智慧投資系統在不依賴事先標記資料的情況下，完全根據每次執行行動（買進/持有/賣出）後獲得的環境盈虧反饋（獎懲訊號）來自主優化策略，屬於強化式學習。"
"18","C","Deep Q-Learning 的核心優勢","Deep Q-Learning（DQN）透過深度神經網路來逼近 Q 值函數，成功解決了傳統 Q-Learning 在高維度或連續狀態空間中，Q 表（Q-table）因過大而難以擴展的瓶頸。"
"19","A","迴歸任務的損失函數","房價預測屬於連續數值預測的迴歸任務，必須選用均方誤差（MSE）或平均絕對誤差（MAE）來衡量連續型預測值與真實值之間的差距。"
"20","A","邏輯迴歸的二元分類應用","邏輯迴歸（Logistic Regression）能將特徵線性組合後透過 Sigmoid 函數映射至 0 到 1 之間，用以表示機率，非常適合用來處理罹患糖尿病與否（超過 0.5 警示）的二元分類任務。"
"21","D","隨機森林的整合學習優勢","隨機森林（Random Forest）屬於鑑別式 AI 模型，透過建立多棵決策樹進行整合投票，能高效處理大量、眾多的特徵資料，並能顯著提升預測的穩定性與泛化能力。"
"22","C","變分自編碼器 (VAE) 的流程","變分自編碼器（VAE）的運作流程是先透過編碼器將高維度輸入資料轉換為潛在空間（Latent Space）的機率分佈表示，再由解碼器從該潛在向量中重建原始資料。"
"23","D","我國數發部 AI 評測項目","我國數位發展部 AI 產品與系統評測中心對生成式 AI 的安全評測核心項目，包含當責性、可靠性、隱私及資安、公平性等，而『互動性』並非其規範的客觀評測指標。"
"24","C","模型參數量與資料量的關係","在模型架構不變的前提下，顯著提升模型參數量（如從 20 億到 120 億）能大幅增強模型的表達能力與預測效能，但這必須有足夠規模的訓練資料支持才能避免過擬合。"
"25","C","資料去偏（Data Debiasing）","資料去偏的常見做法是透過調整、清洗或擴充訓練語料，使不同群體、類別或背景資料的比例在數據集中更加平衡，從根本上避免模型過度偏向出現頻率高的主流類別。"
"26","D","微調中的災難性遺忘","微調（Fine-tuning）過程中發生的災難性遺忘，是指模型在過度適應特定新任務的資料分佈時，導致神經元權重劇烈偏移，進而逐漸遺忘先前在預訓練階段獲得的廣泛知識。"
"27","B","模型剪枝（Pruning）的定義","剪枝優化技術的核心概念是辨識並移除模型中對最終預測影響極小、冗餘的神經元、通道或權重參數，以在不顯著損害精準度的情況下，減少模型體積並提升推理效率。"
"28","D","Transformer 的長序列推論瓶頸","Transformer 架構的自注意力（Self-Attention）機制需要計算任意兩個 Token 之間的關聯度，其注意力矩陣的大小與計算複雜度隨序列長度呈平方級增長，是長序列推理的主要記憶體與計算瓶頸。"
"29","A","LIME 局部解釋的應用目的","LIME（局部解釋模型無關方法）的核心目的在於透過在單一特定樣本周圍產生擾動並建立簡單的可解釋代理模型，用以解釋複雜黑箱模型對該『單一樣本』做出決策的局部過程。"
"30","A","可解釋人工智慧 (XAI) 的信任價值","在醫療診斷等高風險領域中，可解釋人工智慧的核心價值在於提供人類醫師與患者能夠理解的決策依據，消除黑箱疑慮，從而有效促進醫療專業人員對系統診斷結果的信任與接受度。"
"31","D","反事實解釋的真實約束","在信貸等金融決策系統中，反事實解釋所產生的樣本，必須滿足特徵間的因果約束與業務邏輯（例如年齡不能倒退），同時確保建議的改變在現實中具有可操作性並符合法規。"
"32","B","有限偏態樣本的參數估計","當樣本數有限且呈現明顯偏態分布時，為了減少推估母體參數的偏誤，除了設法增加樣本數，也應考慮使用對極端值更具魯棒性的分位數或中位數作為中心趨勢估計。"
"33","D","極度不平衡時間序列偵測","面對異常發生頻率極低的工業數據，最穩健的做法是採用基於重建誤差的序列自編碼器（Seq-to-Seq Autoencoder），僅使用正常資料進行訓練，藉由異常資料重建誤差較大的特性來進行偵測。"
"34","C","跨欄位語義重疊與冗餘處理","當資料倉儲中多個欄位儲存相同含意但格式不一的數據（如多個金額欄位）時，最合適的做法是建立統一的命名標準、規範金額單位，進行欄位正規化與語義合併，以減少重複資訊的干擾。"
"35","D","資料不平衡對決策邊界的影響","當推薦系統訓練資料大量集中於低價商品、少數高價商品樣本極少時，模型學到的決策邊界將由多數類別主導而忽視稀有類別，進而造成高價商品稀有類別的召回率（Recall）大幅降低。"
"36","C","探索性資料分析 (EDA) 的做法","探索性資料分析（EDA）的核心在於透過統計與視覺化手段了解資料的特徵分佈與潛在關聯。『繪製各類流量來源對轉換率的關聯圖，尋找潛在關係』最符合 EDA 的探索本質。"
"37","B","時間序列相關性的抽樣策略","當歷史交易樣本間存在明顯的時間序列相關性時，隨機抽樣會破壞時間結構。採取時間序列敏感的抽樣策略（如依據交易時間區間進行分層），最能保存原始結構特性並提升模型穩健性。"
"38","C","RAG 系統的增量更新設計","為了解決 RAG 知識查詢系統在更新文件時需完整重建索引、導致系統暫停服務的問題，最適合採用索引的增量或分段更新方式，讓新資料能即時納入而不需全部重建。"
"39","A","長尾連續數據的模型評估","預測住院日數時，面對集中在 3-7 天但有少數重症明顯偏長的連續數據，應在模型檢核時同時呈現平均絕對誤差（MAE）與重症子群的誤差指標，以兼顧整體與極端個案的穩健度。"
"40","D","監督式與非監督式學習目標辨析","敘述 2、3、5 錯誤：監督式學習常被用於異常偵測（如詐欺分類）；非監督式加入少量標註會變為半監督式；少樣本或無樣本（Self-supervised）在特定條件下也能進行有效訓練。"
"41","D","無序類別變數的特徵工程","對於『主要交通方式』這種不具備前後順序、大小關係的無序類別欄位（火車/飛機/自駕/公車），最適合採用 One-hot 編碼將其轉換為獨立的二元特徵向量。"
"42","C","隱私保護下的跨院協同學習","聯邦學習（Federated Learning）允許各個數據源（各醫院）在不共享、不上傳本地原始病患隱私資料的前提下，僅透過同步模型參數達成跨院跨機構的共同學習。"
"43","D","尺度差異極大的數值特徵處理","當不同特徵的數值範圍差異極大（如績效1–5與加班0–80）時，會導致梯度下降法收斂緩慢。採用數值標準化（Standardization）將特徵縮放至相同尺度，能有效提升訓練效率。"
"44","C","非監督式學習的分群應用","機器學習中的『叢集（Clustering）』方法屬於非監督式學習，其最典型的應用情境為根據顧客的消費行為與特徵，在沒有預先標註標籤的情況下，自動將顧客劃分為數個群組。"
"45","C","符合常態分布的異常值檢測","對於大致呈現常態分布的連續數據（如收縮壓），最合適且穩健的異常值處理方式是透過 Z 分數（Z-score）或標準差範圍進行檢測，再依據醫學研究需求決定調整或移除。"
"46","B","監督式特徵選擇的概念","監督式特徵選擇（Supervised Feature Selection）的核心概念，在於必須直接參考目標變數，藉由評估每個特徵與目標變數之間的相關性，篩選出對預測結果貢獻最大的特徵。"
"47","B","改善神經網路的梯度傳播","在訓練神經網路時，隱藏層選用 ReLU（修正線性單元）或其變體作為啟動函數，能有效解決傳統 Sigmoid 在深層網路中容易產生的梯度消失或梯度爆炸問題，進而提升收斂速度與穩定性。"
"48","A","連續型數據的分佈視覺化","直方圖（Histogram）專門用來呈現連續型數據的次數分配情形。探討顧客年齡資料的整體分布特徵，並檢視是否存在異常集中或分散現象，是最適合使用直方圖的情境。"
"49","A","大型語言模型安全性評估指標","我國數位發展部 AI 產品與評測中心在評估大型語言模型安全性時，核心指標包含事實正確性、偏見與歧視、惡意與濫用可能性，而『資料複雜性』並非其明列的安全指標。"
"50","A","批次推論階段的技術挑戰辨析","批次推論（Batch Inference）是針對已訓練完成的模型進行大規模日常請求處理。因此，『如何確保訓練語料的涵蓋性與標註品質』屬於模型研發與訓練階段的難題，而非批次推論階段的主要挑戰。"
